grade,month,day,heat_id,nom_length,billets_qty,l1_length,l2_length,l3_length,l1_romb,l2_romb,l3_romb
SAE 1022,Marzo,20,35028165.0,5.13,100,5.15,,5.14,10,,9.0
SAE 1022,Marzo,20,35028166.0,5.13,98,5.15,,5.14,10,,7.0
SAE 1022,Marzo,20,35028167.0,5.13,105,5.15,,5.14,9,,7.0
SAE 1022,Marzo,20,35028168.0,5.13,107,5.15,,5.14,4,,7.0
SAE 1022,Marzo,20,35028169.0,5.13,105,5.15,,5.14,8,,7.0
SAE 1022,Marzo,20,35028170.0,5.13,104,5.15,,5.14,10,,6.0
SAE 1022,Marzo,20,35028171.0,5.13,102,5.13,,5.13,10,,6.0
SAE 1022,Marzo,21,35028172.0,5.13,95,5.13,5.14,5.13,10,12,9.0
SAE 1022,Marzo,21,35028173.0,5.13,105,5.14,5.13,5.14,10,10,9.0
SAE 1022,Marzo,21,35028174.0,5.13,103,5.13,5.14,5.13,10,10,7.0
SAE 1022,Marzo,21,35028175.0,5.13,110,5.13,5.13,5.14,10,10,7.0
SAE 1022,Marzo,21,35028176.0,5.13,99,5.13,5.14,,12,12,
SAE 1022,Marzo,21,35028177.0,5.13,97,5.13,5.14,,10,10,
SAE 1022,Marzo,21,35028178.0,5.13,100,5.13,5.14,,9,10,
SAE 1022,Marzo,26,35028179.0,5.13,107,5.13,5.14,5.12,12,14,10.0
SAE 1022,Marzo,26,35028180.0,5.13,97,5.14,5.13,5.12,13,14,8.0
SAE 1030,Marzo,27,35028181.0,4.7,109,4.71,,4.69,14,,13.0
SAE 1030,Marzo,27,35028196.0,4.7,116,4.71,,4.69,5,,7.0
SAE 1030,Marzo,27,35028197.0,4.7,110,4.71,,4.69,3,,3.0
SAE 1030,Marzo,27,35028198.0,4.7,113,4.7,,4.7,12,,7.0
SAE 1030,Marzo,27,35028199.0,4.7,111,4.71,,4.69,12,,7.0
SAE 1030,Marzo,27,35028200.0,4.7,114,4.7,,4.71,10,,7.0
SAE 1030,Marzo,27,35028201.0,4.7,113,4.71,,4.71,9,,5.0
SAE 1030,Marzo,27,35028202.0,4.7,127,4.7,,4.69,7,,5.0
SAE 1030,Marzo,27,35028203.0,4.7,107,4.71,,4.7,3,,3.0
SAE 1030,Marzo,27,35028204.0,4.7,106,4.7,,4.71,3,,3.0
SAE 1030,Marzo,27,35028205.0,4.7,119,4.71,,4.69,4,,3.0
SAE 1030,Marzo,27,35028206.0,4.7,109,4.7,,4.7,4,,3.0
SAE 1030,Marzo,28,35028207.0,4.7,112,4.7,4.69,4.69,12,12,8.0
SAE 1030,Marzo,28,35028208.0,4.7,121,4.7,4.69,4.69,10,10,7.0
SAE 1030,Marzo,28,35028209.0,4.7,116,4.7,4.69,4.69,10,7,7.0
SAE 1030,Marzo,28,35028210.0,4.7,105,4.7,4.69,4.69,10,10,7.0
SAE 1030,Marzo,28,35028211.0,4.7,117,4.7,4.69,4.69,4,8,3.0
SAE 1030,Marzo,28,35028236.0,4.7,110,4.7,4.69,4.69,9,7,5.0
SAE 3702,Marzo,28,35028238.0,5.42,88,5.42,5.41,5.42,8,7,4.0
SAE 3702,Marzo,28,35028239.0,5.42,113,5.41,5.42,5.41,5,,4.0
SAE 3702,Marzo,28,35028240.0,5.42,90,5.42,5.41,5.42,4,11,3.0
